name	label
<<<<df:Mortimer-kgp:say-<<<<df:something-kgp:notMatter-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/122">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/107">>	107
<<<<df:Holmes-kgp:look-df:Bedroom>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/279">>	279
<<<<ag:Sir_Eustace_Brackenstall-kgp:equalTo-ag:demon>>-rdf:value-"http://kgc.knowledge-graph.jp/data/AbbeyGrange/127">>	127
<<<<sl:Fitzroy_Simpson-kgp:notHave-sl:relation>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/357">>	357
<<<<ci:Watson-kgp:say-<<<<owl:Nothing-kgp:exist-ci:Quotation_from_Balzac>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/369">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/353">>	353
<<<<rp:Young_man-kgp:say-<<<<rp:Young_man-kgp:exist-rp:waiting_room>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/111">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/110">>	110
<<<<sb:bedroom_of_Julia-kgp:have-sb:vanity>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SpeckledBand/202">>	202
<<<<ag:Sir_Eustace_Brackenstall-kgp:sleep-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/AbbeyGrange/112">>	112
<<<<df:Porter-kgp:say-<<<<df:Brenda-kgp:lie-df:My_bed>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/169">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/158">>	158
<<<<sl:Gypsy_of_Dartmoor-kgp:Attention-sl:Silver_Blaze>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/143">>	143
<<<<df:Porter-kgp:open-df:window>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/308">>	308
<<<<sl:Holmes-kgp:ask-sl:paper_of_Fitzroy_Simpson>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/194">>	194
<<<<sl:Watson-kgp:ask-<<<<sl:Cyrus_Brown-kgp:kidnap-sl:Silver_Blaze>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/307">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/306">>	306
<<<<sl:Ned_Hunter-kgp:report-<<<<sl:Edith_Baxter-kgp:tell-<<<<sl:Fitzroy_Simpson-kgp:had-sl:Thick_stick>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/049">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/069">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/104">>	104
<<<<dm:flower_bed-kgp:have-dm:male_footprints>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DancingMen/141">>	141
<<<<sl:Ned_Hunter-kgp:Watch-sl:stable>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/023">>	23
<<<<rp:Watson-kgp:think-<<<<rp:Percy_Trevelyan-kgp:nervous-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/013">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/008">>	8
<<<<rp:Helper_boy-kgp:the_robbers_of_Worthington_bank-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/304">>	304
<<<<ci:Windybank-kgp:say-<<<<ci:Windybank-kgp:rejoice-<<<<ci:Holmes-kgp:notEqualsTo-ci:police>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/424">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/423">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/414">>	414
<<<<df:Failure-kgp:upset-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/468">>	468
<<<<sl:John_Straker-kgp:have-sl:silver_watch>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/220">>	220
<<<<sl:John_Straker-kgp:notExist-sl:stable>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/120">>	120
<<<<sl:Holmes-kgp:infer-<<<<sl:sheep_curry_dishes_of_Ned_Hunter-kgp:include-sl:Opium>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/362">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/354">>	354
<<<<ag:Stanley_Hopkins-kgp:estimate-<<<<ag:Criminal-kgp:return-ag:Abbey_mansion>>-rdf:value-"http://kgc.knowledge-graph.jp/data/AbbeyGrange/299">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/AbbeyGrange/300">>	300
<<<<rp:Percy_Trevelyan-kgp:ask-rp:feelFear>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/084">>	84
<<<<dm:Sentence_I-kgp:have-dm:T_AND_G>>-rdf:value-http://kgc.knowledge-graph.jp/data/DancingMen/173b>>	173
<<<<sl:Ned_Hunter-kgp:report-<<<<sl:Ned_Hunter-kgp:driveOff-sl:Fitzroy_Simpson>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/094">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/104">>	104
<<<<ci:Sutherland-kgp:say-<<<<ci:Sutherland-kgp:wear-ci:Purple_plush>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/131">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/130">>	130
<<<<ci:Watson-kgp:say-<<<<ci:Holmes-kgp:canUnderstand-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/297">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/296">>	296
<<<<df:Porter-kgp:say-<<<<df:Porter-kgp:enter-df:room>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/162">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/158">>	158
<<<<cm:Henry-kgp:tell-<<<<cm:Henry-kgp:offer-<<<<cm:Henry-kgp:contact-cm:outside>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/278">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/277">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/256">>	256
<<<<dm:00E-kgp:appear-dm:Alphabet>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DancingMen/152">>	152
<<<<sl:Fitzroy_Simpson-kgp:goOut-sl:stable_of_Mapleton>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/155">>	155
<<<<ci:Windybank-kgp:busy-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/416">>	416
<<<<sl:Holmes-kgp:infer-<<<<sl:wasteland-kgp:dark-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/377">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/354">>	354
<<<<dm:Abe_Slaney-kgp:say-<<<<dm:father_of_Elsie-kgp:equalTo-dm:boss_of_gang>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DancingMen/203">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DancingMen/191">>	191
<<<<sb:Helen-kgp:obtain-sb:money>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SpeckledBand/6">>	6
<<<<ag:Holmes-kgp:smoke-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/AbbeyGrange/312">>	312
<<<<rp:Percy_Trevelyan-kgp:notSeemToDoctor-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/016">>	16
<<<<rp:Percy_Trevelyan-kgp:say-<<<<rp:Percy_Trevelyan-kgp:open-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/038">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/030">>	30
<<<<cm:Henry-kgp:notCall-cm:help>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/328">>	328
<<<<sl:Ned_Hunter-kgp:report-<<<<sl:Fitzroy_Simpson-kgp:relive-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/056">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/104">>	104
<<<<ci:Sutherland-kgp:say-<<<<ci:Sutherland-kgp:handOver-ci:Holmes>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/062">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/052">>	52
<<<<cm:Holmes-kgp:let-cm:monitoring_Henri>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/237">>	237
<<<<df:Mortimer-kgp:walk-df:pastoral_hall>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/204">>	204
<<<<cm:Morrison-kgp:say-<<<<cm:Nancy-kgp:arrive-cm:Rasheen>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/174">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/171">>	171
<<<<dm:Qubit-kgp:gentle-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DancingMen/004">>	4
<<<<ci:Windybank-kgp:say-<<<<ci:Windybank-kgp:canSue-ci:Holmes>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/544">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/541">>	541
<<<<ci:Hozma-kgp:shy-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/192">>	192
<<<<ag:Dinner_dress_of_black_sequins-kgp:exist-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/AbbeyGrange/030">>	30
<<<<rp:Percy_Trevelyan-kgp:say-<<<<rp:stolen-kgp:notExist-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/153">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/030">>	30
<<<<sb:Helen-kgp:hear-sb:whistle>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SpeckledBand/118">>	118
<<<<ag:bracket-kgp:attention-ag:Holmes>>-rdf:value-"http://kgc.knowledge-graph.jp/data/AbbeyGrange/202">>	202
<<<<rp:Percy_Trevelyan-kgp:say-<<<<rp:Helper_boy-kgp:notListen-rp:Sounds>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/131">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/030">>	30
<<<<rp:Blessington-kgp:out-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/200">>	200
<<<<cm:beast-kgp:escape-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/233">>	233
<<<<sl:Fitzroy_Simpson-kgp:admit-<<<<sl:present_location-kgp:equalTo-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/060">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/158">>	158
<<<<rp:Blessington-kgp:visit-rp:Room_of_Percy_Trevelyan>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/040">>	40
<<<<ci:Sutherland-kgp:say-<<<<ci:Hozma-kgp:say-<<<<ci:Sutherland-kgp:believe-ci:Hozma>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/244">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/243">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/187">>	187
<<<<ci:Watson-kgp:say-<<<<ci:Sutherland-kgp:easygoing-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/317">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/304">>	304
<<<<sb:Watson-kgp:stay-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SpeckledBand/293">>	293
<<<<sb:window_of_bedroom_of_Julia-sb:narrow-owl:Nothing>>-rdf:value-http://kgc.knowledge-graph.jp/data/SpeckledBand/T184>>	184
<<<<sb:Helen-kgp:beScared-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SpeckledBand/2">>	2
<<<<ag:Sir_Eustace_Brackenstall-kgp:nice-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/AbbeyGrange/244">>	244
<<<<df:fireplace-kgp:burnOut-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/130">>	130
<<<<cm:Holmes-kgp:say-<<<<cm:Henry-kgp:understand-<<<<cm:Berkeley-kgp:sell-cm:Henry>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/284">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/311">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/309">>	309
<<<<dm:Handgun-kgp:exist-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DancingMen/092">>	92
<<<<sb:door_of_bedroom_of_Julia-sb:lock-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SpeckledBand/93">>	93
<<<<df:Watson-kgp:lose-df:Imagination>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/341">>	341
<<<<ci:Single_women-kgp:enough-ci:60_GBP>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/099">>	99
<<<<cm:eye_of_Henry-kgp:glaringly-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/193">>	193
<<<<sl:Ned_Hunter-kgp:report-<<<<sl:Edith_Baxter-kgp:see-<<<<sl:Fitzroy_Simpson-kgp:notExist-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/093">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/091">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/104">>	104
<<<<ag:Jack_Crocker-kgp:say-ag:truth>>-rdf:value-"http://kgc.knowledge-graph.jp/data/AbbeyGrange/383">>	383
<<<<ag:scratch_of_Lady_Brackenstal-kgp:exist-ag:Two_red_dot>>-rdf:value-"http://kgc.knowledge-graph.jp/data/AbbeyGrange/033">>	33
<<<<ag:Holmes-kgp:wantToCheat-ag:law_of_UK>>-rdf:value-"http://kgc.knowledge-graph.jp/data/AbbeyGrange/289">>	289
<<<<df:Mortimer-kgp:say-<<<<df:blind-kgp:up-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/086">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/071">>	71
<<<<sl:Holmes-kgp:ask-<<<<sl:mantle_of_John_Straker-kgp:notBeBlown-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/253">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/252">>	252
<<<<ci:Hozma-kgp:say-<<<<owl:Nothing-kgp:feel-ci:machine>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/181">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/174">>	174
<<<<ci:nobody-kgp:notExist-ci:Under_the_marsoon>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/234">>	234
<<<<df:face-kgp:have-df:Thin_smile>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/148">>	148
<<<<sl:Silver_Blaze-kgp:notWander-sl:Wasteland>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/271">>	271
<<<<df:Roundhay-kgp:say-<<<<df:Porter-kgp:equalTo-df:cook>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/048">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/021">>	21
<<<<sl:Fitzroy_Simpson-kgp:bring-sl:Silver_Blaze>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/175">>	175
<<<<cm:Henry-kgp:see-<<<<cm:Berkeley-kgp:argue-cm:living_room>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/081">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/229">>	229
<<<<sb:Holmes-kgp:sit-sb:chair>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SpeckledBand/207">>	207
<<<<df:Face_of_fear-kgp:exist-df:window>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/147">>	147
<<<<ag:Sir_Eustace_Brackenstall-kgp:drunk-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/AbbeyGrange/126">>	126
<<<<ci:Holmes-kgp:recommend-ci:Armchair>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/037">>	37
<<<<df:Standale-kgp:go-df:room>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/390">>	390
<<<<dm:Elsie-kgp:escape-dm:London>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DancingMen/205">>	205
<<<<df:Holmes-kgp:say-<<<<df:Mortimer-kgp:dump-df:poison>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/359">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/348">>	348
<<<<cm:Henry-kgp:happy-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/361">>	361
<<<<owl:Nothing-kgp:Redon_Hall_street-ci:address_of_sender_of_letter>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/375">>	375
<<<<dm:Martin-kgp:permit-dm:investigation>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DancingMen/087">>	87
<<<<sl:Watson-kgp:confirm-<<<<sl:Cyrus_Brown-kgp:notHurt-sl:Silver_Blaze>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/328">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/320">>	320
<<<<ci:Holmes-kgp:say-<<<<ci:Holmes-kgp:find-ci:Hozma>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/429">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/428">>	428
<<<<owl:Nothing-kgp:important-ci:signature_of_letter>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/376">>	376
<<<<cm:Berkeley-kgp:notHave-cm:love_relationship>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/165">>	165
<<<<sl:John_Straker-kgp:do-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/019">>	19
<<<<cm:Jane-kgp:beAsked-cm:tea>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/073">>	73
<<<<cm:Holmes-kgp:think-<<<<cm:Berkeley-kgp:hit-cm:head_of_Berkeley>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/156">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/152">>	152
<<<<rp:Percy_Trevelyan-kgp:say-<<<<rp:Russian_nobility-kgp:in_residence-rp:England>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/090">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/030">>	30
<<<<rp:Helper_boy-kgp:notExist-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/270">>	270
<<<<rp:Elderly_man-kgp:intendToFix-rp:Instead_of_tools_hanging_stand>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/293">>	293
<<<<ci:Watson-kgp:say-<<<<owl:Nothing-kgp:beWritten-<<<<owl:Nothing-kgp:hesitating-ci:speak_of_hozma>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/363">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/354">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/353">>	353
<<<<cm:character_of_Berkeley-kgp:unusual-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/027">>	27
<<<<df:Holmes-kgp:say-<<<<df:reason_of_death_of_Mortimer-kgp:suicide-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/368">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/367">>	367
<<<<sl:John_Straker-kgp:take-sl:Match>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/376">>	376
<<<<cm:Morrison-kgp:say-<<<<cm:Nancy-kgp:turnPale-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/184">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/171">>	171
<<<<rp:Blessington-kgp:notSettle-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/078">>	78
<<<<rp:Percy_Trevelyan-kgp:say-<<<<rp:Young_man-kgp:enter-rp:Examination_room>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/096">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/030">>	30
<<<<sl:Ned_Hunter-kgp:report-<<<<sl:Fitzroy_Simpson-kgp:confirm-<<<<sl:Owner_muscle-kgp:bet-sl:Brown_horse>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/086">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/085">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/104">>	104
<<<<ci:Windybank-kgp:return-ci:House_of_Windybank>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/149">>	149
<<<<df:Holmes-kgp:say-<<<<df:Mortimer-kgp:Perpetrator_of_Case_1-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/350">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/348">>	348
<<<<sb:Roylott-kgp:lock-sb:safe>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SpeckledBand/392">>	392
<<<<ci:Sutherland-kgp:cross-ci:road>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/013">>	13
<<<<rp:Young_man-kgp:exist-rp:waiting_room>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/111">>	111
<<<<sl:Fitzroy_Simpson-kgp:admit-<<<<sl:Edith_Baxter-kgp:see-<<<<sl:Ned_Hunter-kgp:driveOff-sl:Fitzroy_Simpson>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/094">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/091">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/158">>	158
<<<<df:George-kgp:equalTo-df:Good_friends>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/436">>	436
<<<<sl:Holmes-kgp:infer-<<<<sl:John_Straker-kgp:take-sl:Silver_Blaze>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/382">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/354">>	354
<<<<df:lamp-kgp:Ready-made-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/288">>	288
<<<<sl:Fitzroy_Simpson-kgp:admit-<<<<sl:Fitzroy_Simpson-kgp:cameToListen-sl:Forecast_of_horse_racing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/078">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/158">>	158
<<<<dm:Elsie-kgp:live-dm:Norfolk>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DancingMen/013">>	13
<<<<ci:Watson-kgp:think-<<<<ci:Holmes-kgp:focus-ci:story_of_Sutherland>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/085">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/083">>	83
<<<<df:Holmes-kgp:see-df:Talc_sheath>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/334">>	334
<<<<df:Standale-kgp:say-<<<<df:Standale-kgp:going-df:Africa>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/222">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/216">>	216
